Temp;fitted;Species;Site;MHWDays;Year ;Size ;Impacted
24,3131;27,3237;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,3636;25,9727;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,4141;24,6715;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,4646;23,419;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,5152;22,2145;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,5657;21,0568;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,6162;19,9451;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,6667;18,8785;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,7172;17,8559;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,7677;16,8765;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,8182;15,9392;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,8687;15,0432;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,9192;14,1876;Paramuricea;Pzzinu_par;NA;NA;NA;NA
24,9697;13,3713;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25;12,5934;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,0707;11,8531;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,1212;11,1493;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,1717;10,4811;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,2222;9,8477;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,2727;9,248;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,3232;8,6812;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,3737;8,1463;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,4242;7,6423;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,4747;7,1685;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,5253;6,7238;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,5758;6,3074;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,6263;5,9183;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,6768;5,5556;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,7273;5,2184;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,7778;4,9058;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,8283;4,6169;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,8788;4,3509;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,9293;4,1067;Paramuricea;Pzzinu_par;NA;NA;NA;NA
25,9798;3,8836;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,0303;3,6806;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,0808;3,4968;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,1313;3,3314;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,1818;3,1835;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,2323;3,0522;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,2828;2,9366;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,3333;2,8359;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,3838;2,7493;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,4343;2,6758;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,4848;2,6146;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,5354;2,5649;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,5859;2,5258;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,6364;2,4965;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,6869;2,4762;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,7374;2,464;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,7879;2,4591;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,8384;2,4607;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,8889;2,468;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,9394;2,4801;Paramuricea;Pzzinu_par;NA;NA;NA;NA
26,9899;2,4963;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27;2,5158;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,0909;2,5378;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,1414;2,5615;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,1919;2,5862;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,2424;2,611;Paramuricea;Pzzinu_par;NA;NA;NA;NA
27,2929;2,6352;Paramuricea;Pzzinu_par;NA;NA;NA;NA
